MAR,SCHL,WAGP,ESR,RAC1P
1,19,000000,6,1
1,17,043000,1,1
1,17,000000,6,1
2,11,000000,6,1
3,19,004800,1,1
5,02,,,1
1,19,000800,1,1
1,19,049000,1,1
5,19,024000,1,1
5,04,,,1
5,04,,,1
5,24,100000,1,1
5,19,014900,6,1
5,01,,,1
5,,,,1
5,13,037400,1,1
5,19,006500,1,6
5,16,000400,1,6
5,20,000000,6,1
5,21,042000,2,2
5,21,086000,1,1
3,21,072000,1,1
5,20,023400,1,9
1,21,000000,6,1
1,16,000000,6,1
1,20,040000,1,1
1,16,004700,1,9
1,19,084000,1,1
1,19,015000,1,1
5,10,,,1
1,21,089000,1,1
1,19,030000,1,6
1,21,035000,1,6
5,18,002900,1,6
5,20,022000,1,1
3,16,007200,1,1
5,16,040000,1,1
3,20,036000,1,1
1,20,070000,1,1
1,21,100000,1,1
5,14,000000,6,1
3,19,065000,1,1
1,21,000000,6,1
1,21,091000,1,9
5,,,,9
1,16,072000,1,1
1,18,034000,1,1
5,13,000000,6,1
5,19,010000,1,1
3,16,000000,6,1
1,22,027500,2,1
1,21,043000,1,1
5,,,,1
1,21,081000,1,6
1,21,087000,1,6
3,18,000000,6,1
1,20,028000,1,1
1,19,028000,1,1
5,,,,1
3,16,031100,1,1
5,12,000000,6,1
1,12,020000,1,1
1,12,000000,6,1
5,01,,,1
5,,,,1
5,09,,,1
5,08,,,1
1,16,000000,6,1
1,16,080000,1,1
1,23,316000,1,1
1,21,004000,1,1
3,18,000000,6,1
5,22,054000,1,1
1,19,023000,3,9
1,16,000000,6,9
3,13,000000,6,7
5,22,080000,1,1
1,16,000000,6,1
1,19,040000,1,1
5,16,000000,1,1
5,16,011200,1,1
2,15,000000,6,1
1,16,068000,1,1
1,18,061000,1,1
1,21,000000,6,6
1,21,000000,6,6
5,11,,,6
4,14,060000,1,1
5,08,,,1
5,08,,,1
5,02,,,1
5,01,,,1
5,09,000000,6,1
5,15,000000,1,1
3,16,050000,1,1
5,13,000000,6,1
5,13,000000,6,1
1,19,035000,1,1
1,20,050000,1,1
5,19,000120,1,6
1,21,020500,1,1
1,21,045000,1,1
1,21,130000,1,1
1,19,034000,1,1
5,14,001500,1,1
5,13,000000,,1
5,07,,,1
5,21,102000,1,1
3,16,036000,1,1
5,12,000000,6,1
5,01,,,2
5,01,050000,1,6
1,22,000000,6,1
1,22,053000,2,1
1,23,000000,6,1
1,21,000000,6,1
1,20,000000,6,1
1,20,058000,1,1
5,02,,,1
5,02,,,1
5,,,,1
5,18,018000,1,1
5,13,015000,6,1
5,22,105000,1,1
3,16,040000,1,1
5,07,,,1
3,22,000000,6,1
4,13,031000,1,1
5,12,018000,1,1
1,21,000600,6,1
1,22,006900,1,1
1,16,085000,1,1
1,19,000000,6,9
5,10,,,1
5,06,,,1
5,02,,,1
5,17,000000,6,1
1,19,030000,1,1
1,22,042000,1,1
5,21,041700,1,1
4,16,028000,1,1
4,16,000000,3,2
1,11,015000,1,1
1,11,022000,2,1
4,16,010000,1,6
5,01,,,6
2,21,000000,6,1
1,19,000000,1,1
1,21,075000,1,1
1,14,011200,1,1
1,16,060000,1,1
5,13,001400,6,1
3,16,016200,1,1
5,09,,,1
1,01,021600,1,6
1,15,012000,3,6
5,11,000000,3,6
1,18,006000,1,1
1,20,000000,6,1
2,16,000000,6,1
1,19,005200,6,1
1,16,000000,6,1
2,21,000000,6,1
2,14,000900,6,7
2,15,000000,6,1
1,23,316000,1,1
1,17,020000,1,1
1,16,001000,6,1
5,17,000000,3,1
5,16,000000,6,1
2,19,060000,2,1
5,21,065000,1,1
5,20,007000,1,1
5,15,013800,1,1
1,22,000000,6,1
1,21,007000,1,1
3,19,052000,1,1
4,19,030000,2,1
1,18,010000,1,1
1,20,050000,1,1
5,18,006000,1,1
5,19,000500,3,1
3,16,017200,1,1
1,19,000000,6,1
1,18,000000,6,1
3,22,056000,1,9
1,21,000000,1,1
1,19,050000,1,1
1,18,000000,6,1
1,18,024400,1,1
5,16,003300,1,1
1,19,000000,3,1
1,16,025800,1,1
5,09,,,1
5,06,,,1
1,16,037000,1,1
1,19,060000,1,1
3,21,000000,6,1
1,18,316000,1,1
1,16,000000,6,1
5,02,,,1
5,01,,,1
3,22,104000,1,1
5,19,013800,1,1
5,16,035000,4,1
1,22,100000,4,1
1,22,042000,1,1
1,24,000000,6,1
1,21,000000,6,1
2,19,000000,6,1
5,16,000180,3,1
5,01,,,1
5,,,,1
5,14,013000,1,1
1,15,030000,1,1
1,16,028000,1,1
1,21,016000,1,1
1,20,017000,1,1
1,21,047600,1,1
1,19,036900,1,1
5,01,,,1
5,08,,,1
3,16,072000,1,1
3,21,100000,1,1
1,16,000000,1,1
5,05,,,1
5,02,,,1
5,,,,1
1,19,000000,6,1
1,18,000000,6,1
1,19,017300,4,1
1,20,000000,6,1
1,19,050000,1,1
1,19,035000,1,1
4,18,007000,3,1
5,16,026000,1,1
5,18,000400,1,1
5,02,,,1
1,19,000000,6,1
1,18,040000,6,1
5,06,,,1
5,06,,,1
1,19,016000,1,1
1,17,000000,6,1
3,16,072000,1,1
1,19,016000,1,1
1,17,023000,3,1
5,18,000900,6,1
5,13,000000,6,1
5,10,,,1
5,01,,,1
1,19,000000,6,6
1,21,000000,6,6
1,18,020000,1,9
1,20,001300,3,1
5,09,,,1
5,05,,,1
1,18,000000,6,1
1,16,000000,6,1
3,17,000500,3,9
5,13,000000,6,9
5,07,,,9
5,17,020000,1,1
1,16,034000,1,1
1,19,009000,1,1
2,12,000000,6,2
1,14,017500,1,1
1,18,003400,1,1
5,13,003500,1,1
5,07,,,1
1,07,000000,3,8
1,09,023000,1,8
5,19,006900,3,8
5,19,000700,3,8
5,11,,,8
1,18,008000,1,1
1,18,000000,6,1
5,14,000000,3,1
5,13,000000,,1
1,18,000000,6,1
1,18,030000,1,1
1,21,000000,6,1
1,21,000000,1,1
3,17,037000,1,1
5,14,000000,6,1
5,11,,,1
5,10,,,1
5,07,,,1
5,,,,1
3,18,000000,6,1
5,01,,,1
3,16,036000,1,1
3,20,045000,1,1
5,17,002300,1,1
5,19,008800,1,1
3,20,048000,1,1
4,16,012000,1,1
5,16,004000,3,1
5,18,042000,1,1
5,16,018000,6,1
3,19,000000,6,1
1,16,060000,1,1
1,16,000000,6,1
5,08,,,1
2,21,000000,6,1
3,24,072000,1,1
5,05,,,1
3,19,033000,1,1
5,20,042000,1,1
3,19,067000,1,9
4,16,000000,6,1
1,21,140000,1,1
1,21,085000,1,1
4,16,000000,3,1
5,15,006600,1,1
1,19,030000,1,6
1,01,011000,1,6
5,16,015000,1,6
1,22,000000,6,1
2,16,000000,6,1
1,22,000000,6,1
1,22,000000,6,1
5,13,000000,6,1
5,16,000000,6,1
1,01,026900,1,1
1,01,000000,6,1
5,19,000000,6,1
5,09,,,1
5,05,,,1
5,01,,,1
5,19,036000,1,9
5,16,027000,1,1
1,16,051000,1,1
1,19,000000,6,1
5,02,,,1
5,19,031200,1,1
3,18,021200,1,1
5,01,,,1
5,,,,1
5,15,019000,3,1
1,19,000000,6,1
1,16,022000,1,1
1,20,090000,1,1
1,22,047000,1,1
5,11,,,1
1,16,057000,1,1
1,17,046800,1,1
5,22,045400,1,1
1,17,004000,3,1
1,20,048000,1,1
5,05,,,1
5,03,,,1
1,22,000000,6,6
1,22,018500,1,6
1,20,065000,6,1
1,16,000000,6,1
3,19,000000,6,1
1,22,070000,1,1
1,22,000000,6,1
5,19,025000,1,9
5,04,,,9
5,,,,9
1,18,010000,1,1
1,20,045000,1,1
5,13,000000,6,1
5,12,000000,,1
5,09,,,1
5,16,025000,1,1
5,16,040000,1,1
5,19,010000,1,1
1,16,000000,6,1
1,16,000000,6,1
1,22,065000,1,1
1,22,000000,3,1
5,16,000000,3,1
3,14,000000,3,6
1,13,000000,6,6
1,13,000000,6,6
3,16,033000,1,6
5,06,,,6
5,01,,,6
5,18,026000,1,1
5,14,000000,6,1
5,12,000000,,1
5,04,,,1
5,01,,,1
3,20,039000,1,1
5,20,003000,1,1
1,21,000000,6,1
1,20,018500,1,1
1,16,060000,1,1
1,16,005200,1,1
5,12,000000,6,1
5,09,,,1
1,19,048000,1,1
1,20,032000,1,1
5,13,000000,6,1
5,12,000000,,1
5,09,,,1
3,21,000000,6,1
3,17,000000,3,1
5,12,000000,,2
5,12,,,2
1,21,000000,6,6
1,21,000000,6,6
5,05,,,6
5,03,,,6
3,16,012000,1,1
5,16,000000,6,1
5,13,000000,6,1
1,19,030000,3,1
1,16,012000,1,1
5,07,,,1
5,03,,,1
1,16,000000,1,1
1,12,000000,6,1
5,07,,,1
5,04,,,1
5,,,,1
2,21,000000,6,1
3,19,007000,2,1
5,19,011800,3,6
1,17,018000,1,1
1,17,000000,6,1
5,14,000000,6,1
1,19,000000,6,1
1,18,050000,1,1
1,19,040000,1,1
1,19,056000,1,1
1,16,031900,1,1
1,16,031300,1,1
3,21,016400,6,2
5,12,000000,,2
5,08,,,2
1,22,047000,1,9
1,21,000000,1,1
5,14,000510,1,9
5,12,000000,,9
1,13,000000,6,3
1,16,000000,6,1
1,20,000000,3,1
1,16,060000,1,1
1,20,030000,6,1
5,07,,,1
5,03,,,1
1,15,004700,1,1
1,20,096000,1,1
1,19,000000,6,1
5,16,050000,1,9
5,15,000000,1,1
2,16,000000,6,1
2,16,051000,6,1
2,18,000000,6,1
2,16,000000,6,6
1,21,058000,1,1
1,21,076000,1,1
1,21,000000,6,1
1,23,040000,2,1
1,21,140000,1,1
1,21,000000,6,1
5,12,000000,,1
5,09,,,1
5,05,,,1
5,05,,,1
5,16,145000,1,1
1,19,000000,3,1
